,Date,Essence 95 RON E10,Essence 98 RON E5,Diesel B7,Gasoil chauffage 50S (moins de 2000 l),Gasoil chauffage 50S (à partir de 2000 l)
0,2022-03-14,1.951,2.023,2.286,1.135,1.105
1,2022-03-15,1.951,2.023,2.079,1.147,1.116
2,2022-03-16,1.951,2.023,2.079,1.101,1.071
3,2022-03-17,1.951,2.023,2.079,1.041,1.01
4,2022-03-18,1.951,2.023,2.079,1.056,1.026
5,2022-03-19,1.776,1.848,1.904,1.187,1.156
6,2022-03-20,1.776,1.848,1.904,1.187,1.156
7,2022-03-21,1.776,1.848,1.904,1.187,1.156
8,2022-03-22,1.776,1.848,1.904,1.207,1.176
9,2022-03-23,1.776,1.848,1.904,1.291,1.26
10,2022-03-24,1.776,1.848,2.078,1.321,1.291
11,2022-03-25,1.776,1.848,2.078,1.376,1.346
12,2022-03-26,1.829,1.956,2.078,1.375,1.345
13,2022-03-27,1.829,1.956,2.078,1.375,1.345
14,2022-03-28,1.829,1.956,2.078,1.375,1.345
15,2022-03-29,1.829,1.956,2.078,1.337,1.307
16,2022-03-30,1.829,1.956,2.078,1.28,1.249
17,2022-03-31,1.829,1.956,2.078,1.185,1.154
18,2022-04-01,1.839,1.966,1.974,1.21,1.178
19,2022-04-02,1.839,1.966,1.974,1.187,1.155
20,2022-04-03,1.839,1.966,1.974,1.187,1.155
21,2022-04-04,1.839,1.966,1.974,1.187,1.155
22,2022-04-05,1.839,1.966,1.974,1.219,1.188
23,2022-04-06,1.807,1.908,2.0,1.237,1.205
24,2022-04-07,1.807,1.908,2.0,1.199,1.167
25,2022-04-08,1.807,1.908,1.929,1.178,1.146
26,2022-04-09,1.807,1.908,1.929,1.113,1.081
27,2022-04-10,1.807,1.908,1.929,1.113,1.081
28,2022-04-11,1.807,1.908,1.929,1.113,1.081
29,2022-04-12,1.807,1.908,1.929,1.149,1.117
30,2022-04-13,1.764,1.871,1.929,1.157,1.125
31,2022-04-14,1.764,1.871,1.929,1.203,1.171
32,2022-04-15,1.808,1.915,1.929,1.208,1.176
33,2022-04-16,1.808,1.915,2.029,1.261,1.229
34,2022-04-17,1.808,1.915,2.029,1.261,1.229
35,2022-04-18,1.808,1.915,2.029,1.261,1.229
